Date,CPI,Inflation_Rate,Nom_GDP,Nom_GDP_Growth,Unemp_Rate,Unemp_Rate_Growth,ftse_it_price,ftse_it_price_ret,two_y_yield,two_y_yield_growth,five_y_yield,five_y_yield_growth,ten_y_yield,ten_y_yield_growth
1992-12-31,60.754032,,,,,,,,,,,,,
1993-12-31,63.177177,0.039884513343904526,,,,,,,8.747,,8.356,,8.654,
1994-12-31,65.740021,0.040565978438701134,,,,,,,11.374,0.3003315422430548,12.382,0.4818094782192437,12.402,0.4330945227640397
1995-12-31,69.554497,0.05802365046399971,,,,,,,10.417,-0.08413926499032887,10.529,-0.14965272169277988,10.868,-0.1236897274633123
1996-12-31,71.337105,0.025628939563749453,,,,,,,6.561,-0.3701641547470481,6.639,-0.36945578877386265,7.541,-0.3061280824438719
1997-12-31,72.425179,0.015252567370094505,,,,,24402.0,,4.941,-0.24691358024691357,5.14,-0.22578701611688512,5.645,-0.2514255403792601
1998-12-31,73.51326,0.015023518271180203,,,,,35426.0,0.45176624866814197,3.136,-0.3653106658571139,3.4,-0.33852140077821014,4.033,-0.28556244464127534
1999-12-31,75.07737,0.02127656969640568,,,,,42605.0,0.2026477728222209,4.438,0.4151785714285712,5.218,0.5347058823529411,5.579,0.38333746590627316
2000-12-31,77.117516,0.027173914056925375,1241512.9,,,,43662.0,0.024809294683722616,4.63,0.04326273095989186,4.842,-0.07205825986968195,5.263,-0.056640975085140655
2001-12-31,78.885643,0.022927696478190596,1304136.8,0.050441602338566316,,,32317.0,-0.25983692913746503,3.666,-0.208207343412527,4.504,-0.06980586534489885,5.271,0.0015200456013679808
2002-12-31,80.993797,0.02672417844144337,1350258.9,0.03536599841366317,,,23508.0,-0.27258099452300644,2.738,-0.25313693398799786,3.523,-0.21780639431616333,4.427,-0.16012141908556254
2003-12-31,82.829926,0.022669995333099324,1394693.2,0.03290798527600902,,,26887.0,0.14373830185468783,2.559,-0.06537618699780856,3.589,0.018734033494181013,4.423,-0.0009035464196972542
2004-12-31,84.258026,0.0172413530829425,1452319.0,0.04131790418136405,7.82,,30903.0,0.14936586454420353,2.415,-0.056271981242672964,3.009,-0.16160490387294513,3.832,-0.13361971512548043
2005-12-31,85.890144,0.019370475163992262,1493635.3,0.028448502016430233,7.58,-0.03069053708439895,35704.0,0.15535708507264667,2.918,0.20828157349896492,3.124,0.03821867730142903,3.509,-0.0842901878914405
2006-12-31,87.318245,0.016627064916784784,1552686.8,0.03953542072820593,6.17,-0.18601583113456466,41434.0,0.16048622003136903,3.927,0.3457847840986976,4.024,0.2880921895006401,4.202,0.19749216300940442
2007-12-31,89.630409,0.026479735134392612,1614839.8,0.040029322075772145,6.59,0.06807131280388967,38554.0,-0.06950813341700057,4.154,0.05780494015788129,4.282,0.06411530815109345,4.652,0.10709186101856272
2008-12-31,91.466545,0.02048563674410997,1637699.4,0.014155955284232968,6.88,0.04400606980273136,19460.0,-0.4952534108004357,3.114,-0.2503610977371209,3.632,-0.15179822512844465,4.382,-0.05803955288048157
2009-12-31,92.350609,0.009665435597244976,1577255.9,-0.03690756679766749,8.53,0.2398255813953487,23248.39,0.19467574511819108,1.543,-0.5044958253050739,2.802,-0.2285242290748899,4.142,-0.05476951163852106
2010-12-31,94.118736,0.019145807690342354,1611279.4,0.021571325236443784,8.19,-0.0398593200468933,20173.29,-0.13227152503893813,2.877,0.8645495787427089,3.884,0.3861527480371163,4.815,0.16248189280540792
2011-12-31,97.105507,0.0317340747117556,1648755.8,0.023258784292780055,9.73,0.18803418803418825,15089.74,-0.25199409714528476,5.117,0.7785888077858882,6.198,0.5957775489186408,7.108,0.4762201453790238
2012-12-31,99.439774,0.024038461587971405,1624358.7,-0.014797279257486196,11.6,0.19218910585817062,16273.38,0.07844005264504217,1.987,-0.6116865350791479,3.308,-0.4662794449822524,4.497,-0.36733258300506466
2013-12-31,100.0,0.005633822136401845,1612751.3,-0.0071458354610960395,12.61,0.08706896551724141,18967.71,0.16556671078780183,1.257,-0.3673880221439356,2.73,-0.17472793228536876,4.125,-0.08272181454302863
2014-12-31,99.906631,-0.000933689999999987,1627405.6,0.00908652189584358,12.34,-0.021411578112608964,19011.96,0.0023329120911275147,0.534,-0.5751789976133651,0.952,-0.6512820512820513,1.89,-0.5418181818181819
2015-12-31,99.906631,0.0,1655355.0,0.017174206602214026,11.72,-0.050243111831442366,21418.37,0.12657348321793238,-0.03,-1.0561797752808988,0.504,-0.47058823529411764,1.596,-0.15555555555555545
2016-12-31,100.300003,0.003937396307558405,1695786.8,0.024424851466905872,11.75,0.0025597269624573205,19234.58,-0.10195873915708797,-0.182,5.066666666666666,0.601,0.19246031746031744,1.815,0.1372180451127818
2017-12-31,101.099998,0.007976021695632385,1736592.8,0.0240631664310631,10.89,-0.07319148936170206,21853.34,0.13614854080515393,-0.254,0.39560439560439575,0.749,0.24625623960066556,2.016,0.11074380165289255
2018-12-31,102.099998,0.009891197030488463,1771391.2,0.020038318712365832,10.2,-0.06336088154269981,18324.03,-0.16149979820018368,0.474,-2.8661417322834644,1.802,1.4058744993324432,2.742,0.36011904761904767
2019-12-31,102.5,0.003917747383305636,1794934.9,0.013291078785984789,9.75,-0.044117647058823484,23506.37,0.2828166074820877,-0.047,-1.09915611814346,0.681,-0.6220865704772475,1.412,-0.48504741064916124
2020-12-31,102.300003,-0.0019511902439024453,1653577.2,-0.07875366399082218,9.8,0.00512820512820511,22232.9,-0.0541755277399274,-0.41,7.7234042553191475,-0.008,-1.011747430249633,0.543,-0.6154390934844192
2021-12-31,106.199997,0.038123107386419,,,8.83,-0.09897959183673477,27346.83,0.23001632715480214,-0.068,-0.8341463414634146,0.417,-53.125,1.172,1.158379373848987
2022-12-31,113.5,0.06873825994552529,,,7.79,-0.11778029445073612,21982.95,-0.1961426607764044,2.898,-43.61764705882353,3.97,8.520383693045565,4.589,2.9155290102389086
